versao,N,threads,rep,tempo_s
v2,1024,40,1,0.126307
v2,1024,40,2,0.126913
v2,1024,40,3,0.124863
v2,1024,40,4,0.126421
v2,1024,40,5,0.124353
v4,1024,40,1,0.016183
v4,1024,40,2,0.013899
v4,1024,40,3,0.012640
v4,1024,40,4,0.012380
v4,1024,40,5,0.012295
